Name,Distance,MassRadius

Sun
Sirius
Canopus
Alpha Centauri
Arcturus
Vega
Capella
Rigel
Procyon
Betelgeuse
Achernar
Hadar
Altair
Acrux
Aldebaran
Antares
Spica
Pollux
Fomalhaut
Deneb
Mimosa
Regulus
Adhara
Shaula
Castor
Gacrux
Bellatrix
Elnath
Miaplacidus
Alnilam
Gamma Velorum
Alnair
Alioth
Alnitak
Dubhe
Mirfak
Wezen
Sargas
Kaus Australis
Avior
Alkaid
Menkalinan
""
Alhena
""
[2]
Mirzam
Polaris
Alphard
Mintaka
Scheat
Almaaz
Rasalgethi
Tau Ceti
Delta Pavonis
Ran
V382 Carinae
Eta Carinae
Delta Cephei
Mu Cephei
Titawin
Rho Cassiopeiae
P Cygni
La Superba
VV Cephei
61 Cygni
R Doradus
Polaris Australis
R Coronae Borealis
54 Piscium
Mira
RW Cephei
Lacaille 8760
V838 Monocerotis
HD 140283
II Pegasi
VY Canis Majoris
Pistol Star
S Doradus
UY Scuti
Barnard's Star
Luhman 16
Proxima Centauri
KIC 8462852
R136a1
Melnick 42
WR 102
VFTS 352
YBP 1194
Gliese 1214
NML Cygni
VB 10
WOH G64
TRAPPIST-1
2MASS J0523-1403
